# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	28303	28725	+	WP_005912447.1	WP_005912447.1		biopolymer transporter ExbD			E2P69_RS00125	423	140	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	28729	29142	+							E2P69_RS00130	414		old_locus_tag=E2P69_00130
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	28729	29142	+	WP_005912449.1	WP_005912449.1		biopolymer transporter ExbD			E2P69_RS00130	414	137	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	29394	29774	+							E2P69_RS00135	381		old_locus_tag=E2P69_00135
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	29394	29774	+	WP_008572965.1	WP_008572965.1		biopolymer transporter ExbD			E2P69_RS00135	381	126	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	30053	30820	-							E2P69_RS00140	768		old_locus_tag=E2P69_00140
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	30053	30820	-	WP_008572961.1	WP_008572961.1		pyridoxine 5'-phosphate synthase			E2P69_RS00140	768	255	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	30828	31097	-							E2P69_RS00145	270		old_locus_tag=E2P69_00145
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	30828	31097	-	WP_008572960.1	WP_008572960.1		hypothetical protein			E2P69_RS00145	270	89	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	31173	32633	-					cls		E2P69_RS00150	1461		old_locus_tag=E2P69_00150
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	31173	32633	-	WP_008572957.1	WP_008572957.1		cardiolipin synthase	cls		E2P69_RS00150	1461	486	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	33039	33764	+							E2P69_RS00155	726		old_locus_tag=E2P69_00155
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	33039	33764	+	WP_008572955.1	WP_008572955.1		YafY family transcriptional regulator			E2P69_RS00155	726	241	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	33814	34179	+							E2P69_RS00160	366		old_locus_tag=E2P69_00160
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	33814	34179	+	WP_008572954.1	WP_008572954.1		DUF1330 domain-containing protein			E2P69_RS00160	366	121	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	34297	35424	-							E2P69_RS00165	1128		old_locus_tag=E2P69_00165
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	34297	35424	-	WP_008572952.1	WP_008572952.1		PA0069 family radical SAM protein			E2P69_RS00165	1128	375	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	35625	36326	-							E2P69_RS00170	702		old_locus_tag=E2P69_00170
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	35625	36326	-	WP_029818096.1	WP_029818096.1		2OG-Fe(II) oxygenase			E2P69_RS00170	702	233	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	36600	37940	-							E2P69_RS00175	1341		old_locus_tag=E2P69_00175
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	36600	37940	-	WP_011345782.1	WP_011345782.1		outer membrane protein transport protein			E2P69_RS00175	1341	446	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	38159	38851	+							E2P69_RS00180	693		old_locus_tag=E2P69_00180
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	38159	38851	+	WP_003482177.1	WP_003482177.1		rhomboid family intramembrane serine protease			E2P69_RS00180	693	230	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	38960	39280	+							E2P69_RS00185	321		old_locus_tag=E2P69_00185
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	38960	39280	+	WP_008572943.1	WP_008572943.1		DUF1820 family protein			E2P69_RS00185	321	106	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	39280	40272	+							E2P69_RS00190	993		old_locus_tag=E2P69_00190
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	39280	40272	+	WP_046935164.1	WP_046935164.1		D-2-hydroxyacid dehydrogenase family protein			E2P69_RS00190	993	330	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	40439	41968	-							E2P69_RS00195	1530		old_locus_tag=E2P69_00195
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	40439	41968	-	WP_008572939.1	WP_008572939.1		S41 family peptidase			E2P69_RS00195	1530	509	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	42073	43371	-							E2P69_RS00200	1299		old_locus_tag=E2P69_00200
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	42073	43371	-	WP_170808603.1	WP_170808603.1		peptidoglycan DD-metalloendopeptidase family protein			E2P69_RS00200	1299	432	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	43469	44125	+							E2P69_RS00205	657		old_locus_tag=E2P69_00205
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	43469	44125	+	WP_109290581.1	WP_109290581.1		hypothetical protein			E2P69_RS00205	657	218	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000001.1	44287	46083	+							E2P69_RS00210	1797		old_locus_tag=E2P69_00210
